Year,Fiscal Deficit
1980-81,134
1981-82,142
1982-83,212
1983-84,192
1984-85,328
1985-86,326
1986-87,372
1987-88,506
1988-89,550
1989-90,574
1990-91,616
1991-92,913
1992-93,740
1993-94,902
1994-95,"1,159"
1995-96,"1,396"
1996-97,"1,602"
1997-98,"1,803"
1998-99,"2,916"
1999-00,"3,746"
2000-01,"3,325"
2001-02,"3,964"
2002-03,"2,820"
2003-04,"3,570"
2004-05,"1,370"
2005-06,280
2006-07,-820
2007-08,"-1,320"
2008-09,330
2009-10,"2,270"
2010-11,660
2011-12,-620
2012-13,0
2013-14,"4,630"
2014-15 (RE),"9,140"
2015-16 (BE),"10,400"
