Year,Fiscal Deficit
1980-81,336
1981-82,409
1982-83,435
1983-84,328
1984-85,396
1985-86,326
1986-87,461
1987-88,825
1988-89,535
1989-90,994
1990-91,"1,595"
1991-92,"1,617"
1992-93,"1,331"
1993-94,"1,339"
1994-95,"1,342"
1995-96,"1,571"
1996-97,891
1997-98,981
1998-99,"2,379"
1999-00,"6,108"
2000-01,"4,884"
2001-02,"4,010"
2002-03,"4,910"
2003-04,"4,110"
2004-05,"1,240"
2005-06,"3,700"
2006-07,"3,020"
2007-08,"1,710"
2008-09,"2,510"
2009-10,"5,270"
2010-11,"3,970"
2011-12,"5,910"
2012-13,"6,550"
2013-14,"8,350"
2014-15 (RE),"32,820"
2015-16 (BE),"13,580"
