Year,Fiscal Deficit
1980-81,"3,712"
1981-82,"4,063"
1982-83,"4,986"
1983-84,"6,359"
1984-85,"8,200"
1985-86,"7,520"
1986-87,"9,269"
1987-88,"11,221"
1988-89,"11,672"
1989-90,"15,434"
1990-91,"18,787"
1991-92,"18,900"
1992-93,"20,891"
1993-94,"20,596"
1994-95,"27,697"
1995-96,"31,426"
1996-97,"37,251"
1997-98,"44,200"
1998-99,"74,254"
1999-00,"91,481"
2000-01,"89,533"
2001-02,"95,993"
2002-03,"1,02,130"
2003-04,"1,23,060"
2004-05,"1,09,270"
2005-06,"90,140"
2006-07,"78,340"
2007-08,"77,820"
2008-09,"1,37,780"
2009-10,"1,92,940"
2010-11,"1,61,450"
2011-12,"1,71,720"
2012-13,"1,97,990"
2013-14,"2,52,300"
2014-15 (RE),"3,66,360"
2015-16 (BE),"3,34,350"
