Year,Fiscal Deficit
1980-81,222
1981-82,244
1982-83,172
1983-84,493
1984-85,591
1985-86,435
1986-87,804
1987-88,568
1988-89,673
1989-90,972
1990-91,967
1991-92,"1,125"
1992-93,"1,569"
1993-94,"1,833"
1994-95,"2,349"
1995-96,"2,417"
1996-97,"2,812"
1997-98,"2,428"
1998-99,"5,706"
1999-00,"4,976"
2000-01,"7,306"
2001-02,"6,723"
2002-03,"7,630"
2003-04,"7,450"
2004-05,"8,190"
2005-06,"8,300"
2006-07,"5,640"
2007-08,"8,790"
2008-09,"12,410"
2009-10,"14,010"
2010-11,"11,800"
2011-12,"15,400"
2012-13,"17,510"
2013-14,"18,040"
2014-15 (RE),"20,320"
2015-16 (BE),"17,580"
