Year,Fiscal Deficit
1980-81,226
1981-82,118
1982-83,280
1983-84,288
1984-85,563
1985-86,550
1986-87,514
1987-88,518
1988-89,497
1989-90,625
1990-91,559
1991-92,918
1992-93,"1,386"
1993-94,"1,254"
1994-95,"1,513"
1995-96,"1,457"
1996-97,"1,944"
1997-98,"1,610"
1998-99,"3,112"
1999-00,"4,277"
2000-01,"4,219"
2001-02,"5,870"
2002-03,"5,280"
2003-04,"4,500"
2004-05,"3,600"
2005-06,"3,690"
2006-07,"4,690"
2007-08,"5,330"
2008-09,"8,730"
2009-10,"10,870"
2010-11,"10,690"
2011-12,"12,300"
2012-13,"14,510"
2013-14,"17,090"
2014-15 (RE),"19,030"
2015-16 (BE),"20,220"
