Year,Revenue Deficit
1980-81,-122
1981-82,-120
1982-83,-66
1983-84,-139
1984-85,-68
1985-86,70
1986-87,309
1987-88,286
1988-89,127
1989-90,126
1990-91,703
1991-92,576
1992-93,300
1993-94,-96
1994-95,-262
1995-96,222
1996-97,591
1997-98,"1,018"
1998-99,"2,863"
1999-00,"3,617"
2000-01,"6,302"
2001-02,"6,732"
2002-03,"3,565"
2003-04,"3,707"
2004-05,"4,037"
2005-06,399
2006-07,"-1,770"
2007-08,"-2,150"
2008-09,70
2009-10,"6,970"
2010-11,"5,080"
2011-12,"-3,210"
2012-13,"-5,570"
2013-14,"-4,720"
2014-15,"-6,390"
2015-16 (RE),"-7,310"
2016-17 (RE),
