Year,Revenue Deficit
1980-81,-59
1981-82,-51
1982-83,-45
1983-84,-76
1984-85,-30
1985-86,-106
1986-87,-163
1987-88,-17
1988-89,2
1989-90,95
1990-91,20
1991-92,32
1992-93,2
1993-94,-81
1994-95,391
1995-96,347
1996-97,719
1997-98,719
1998-99,"1,540"
1999-00,"1,185"
2000-01,608
2001-02,"1,056"
2002-03,685
2003-04,274
2004-05,258
2005-06,"-1,213"
2006-07,"-1,590"
2007-08,"-2,224"
2008-09,"2,080"
2009-10,"4,260"
2010-11,"2,750"
2011-12,"1,460"
2012-13,"4,440"
2013-14,"3,880"
2014-15,"9,500"
2015-16 (RE),"9,560"
